x,y,z
-44.2997738460151,-8.47331350617356,1.14304756681842
-44.352343685713,-9.7611478303776,1.81589158907013
-44.4422023522072,-11.6789398753578,2.96604835910197
-44.4471279015284,-12.9392201899422,3.02570904863872
-44.4492220098941,-13.5653406916976,3.05511927690909
-44.4508346938661,-14.1913768612585,3.0676730752807
-44.4497487094446,-14.816371992844,3.0651931124189
-44.4496473184932,-15.4413665694714,3.05515858217873
-44.4495457652498,-16.0673615474179,3.05328095615236
-44.4494445365904,-16.6913557227263,3.05278269130358
-44.449343145639,-17.3163502993538,3.04491580525231
-44.4492415923956,-17.9423452773003,3.04203414459294
-44.4508596796709,-18.5673811815096,3.05137947532893
-44.4507583374536,-19.1920753507438,3.05089783881096
-44.4496723205433,-19.8172707505915,3.04997021665621
-44.4495708972571,-20.4424646454893,3.04017213571281
-44.4511890673191,-21.0670008240763,3.04957152863903
-44.4510876277114,-21.6922953281011,3.04903086528372
-44.4492666594251,-22.3178489118961,3.03854551940432
-44.4484303837172,-22.9428016059837,3.03680146930412
-44.4468639596616,-23.5708124365584,3.01148003368367
-44.3267343129344,-26.0592508746239,1.46880696189485
-44.3259033755909,-26.6836035998863,1.45491914184199
-44.3243321809586,-27.308714439657,1.42744981678329
-44.3259506413558,-27.9314503438245,1.43584425278854
-44.3309782886592,-28.5623777996004,1.50923690540297
-44.442616443942,-31.6887744053689,2.97668767122023
-44.4464335632169,-32.3162358413189,3.02530736243752
-44.4485278338746,-32.9413559417552,3.05858375771844
-44.448176638576,-33.5669930507145,3.06678024357848
-44.4488048085831,-34.1925290995367,3.06721667502524
-44.4487034824554,-34.8171240896316,3.07028361439683
-44.4486019779462,-35.4428186601849,3.07411327571637
-44.4502199858703,-36.0683542900991,3.0858091685953
-44.4501186273316,-36.6931490684603,3.08194292551279
-44.4482977402683,-37.3182019765998,3.0764123282616
-44.448196316828,-37.9433968214895,3.07895632131835
-44.449814519379,-38.5677327318142,3.08440068859577
-44.4497130311134,-39.1933271732364,3.08770173658427
-44.4478921602175,-39.8182804222407,3.07918262887501
-44.4477907692661,-40.4432749988682,3.08082051361123
-44.4494088582592,-41.0683109031188,3.09381951462678
-44.4493074673078,-41.6933054797462,3.09799440345393
-44.4492060763564,-42.3183000563737,3.1015379705197
-44.4483696366403,-42.9442531417391,3.0907686220039
-44.4497371976407,-43.5743315501465,3.11079878541184
-44.4471809635573,-44.2022422005379,3.08959934484884
-44.4358119647132,-51.0705963453867,2.95298160803328
-44.4415706571211,-51.6929272826932,3.05224270420568
-44.4446498458314,-52.3160460355334,3.10074818524801
